Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
CHEMAINUS,BRITISH COLUMBIA,1011500,26,,,48.94,-123.74,485606080,-1234430000,75,1919,2021,,,1919,2021,1919,2007
LAKE COWICHAN,BRITISH COLUMBIA,1012055,40,,,48.83,-124.05,484946000,-1240308000,171,1960,2021,,,1960,2021,1960,2007
DISCOVERY ISLAND,BRITISH COLUMBIA,1012475,27226,71031,WDR,48.42,-123.23,482528590,-1231332519,18.93,1997,2021,1997,2021,1997,2021,1998,2005
ESQUIMALT HARBOUR,BRITISH COLUMBIA,1012710,52,71798,WPF,48.43,-123.44,482555100,-1232621600,3,1957,2021,1994,2021,1957,2021,1957,2005
GALIANO NORTH,BRITISH COLUMBIA,10130MN,55,,,48.99,-123.57,485906030,-1233424020,6,1975,2021,,,1975,2021,1975,2007
KELP REEFS,BRITISH COLUMBIA,1013998,10853,,WZO,48.55,-123.24,483251700,-1231413320,0,1997,2021,1997,2021,2018,2021,,
MALAHAT,BRITISH COLUMBIA,1014820,65,71774,WKH,48.57,-123.53,483429700,-1233147700,365.8,1920,2021,1994,2021,1920,2021,1920,2005
METCHOSIN,BRITISH COLUMBIA,1015105,68,,,48.37,-123.56,482227001,-1233341002,164,1911,2021,,,1911,2021,1915,2007
NORTH COWICHAN,BRITISH COLUMBIA,1015628,76,,,48.82,-123.72,484927000,-1234306000,45.7,1981,2021,,,1981,2021,1981,2007
NORTH COWICHAN,BRITISH COLUMBIA,1015630,46728,71927,VOO,48.82,-123.72,484927010,-1234308009,44.8,2007,2021,2007,2021,2007,2021,,
NORTH PENDER ISLAND,BRITISH COLUMBIA,1015638,77,,,48.76,-123.29,484550040,-1231712010,98,1972,2021,,,1972,2021,1972,2007
PORT RENFREW,BRITISH COLUMBIA,1016335,82,,,48.59,-124.33,483530003,-1241935000,10,1970,2021,,,1970,2021,1970,2007
RACE ROCKS,BRITISH COLUMBIA,1016640,10943,71778,WQK,48.3,-123.53,481752743,-1233153186,7.4,1994,2021,1994,2021,1995,2021,,
SAANICHTON CDA,BRITISH COLUMBIA,1016940,87,,,48.62,-123.42,483718000,-1232508000,61,1914,2021,,,1914,2021,1914,2007
SALTSPRING ST MARY'S L,BRITISH COLUMBIA,1016995,93,,,48.89,-123.55,485317000,-1233247000,45.7,1975,2021,,,1975,2021,1975,2007
SAANICHTON MT NEWTON,BRITISH COLUMBIA,1016RM0,78,,,48.6,-123.43,483551000,-1232538000,42.7,1980,2021,,,1980,2021,1980,2007
SATURNA CAPMON CS,BRITISH COLUMBIA,1017099,6810,71914,VTS,48.78,-123.13,484630080,-1230741080,178,1991,2021,2006,2021,1991,2021,1991,2007
SATURNA ISLAND CS,BRITISH COLUMBIA,1017101,96,71473,WEZ,48.78,-123.04,484702067,-1230241082,24.4,1980,2021,1994,2021,1980,2021,1980,2007
SHAWNIGAN LAKE,BRITISH COLUMBIA,1017230,97,,,48.65,-123.63,483849010,-1233735070,159,1911,2021,,,1911,2021,1911,2007
SHERINGHAM POINT,BRITISH COLUMBIA,1017254,6811,71780,WSP,48.38,-123.92,482236100,-1235515700,6.9,1992,2021,1994,2021,1992,2021,1992,2007
VICTORIA UNIVERSITY CS,BRITISH COLUMBIA,1018598,6812,71783,WYJ,48.46,-123.3,482725200,-1231816600,60.1,1992,2021,1994,2021,1992,2021,1992,2007
VICTORIA GONZALES CS,BRITISH COLUMBIA,1018611,114,71200,WLM,48.41,-123.32,482447896,-1231929192,61.04,1972,2021,1994,2021,1973,2021,1972,2007
BALLENAS ISLAND,BRITISH COLUMBIA,1020590,138,71769,WGB,49.35,-124.16,492101000,-1240937000,14.51,1966,2021,1994,2021,1966,2021,1967,2007
CAMPBELL RIVER A,BRITISH COLUMBIA,1021261,145,,YBL,49.95,-125.27,495707000,-1251623000,108.8,1965,2021,1979,2013,1965,2021,1965,2007
CAPE MUDGE,BRITISH COLUMBIA,1021330,152,,WAD,50,-125.2,495954500,-1251143700,4.6,1978,2021,1994,2001,1978,2021,1978,2007
CHATHAM POINT,BRITISH COLUMBIA,1021480,153,,WFM,50.33,-125.45,501959500,-1252644000,22.9,1958,2021,1994,2001,1958,2021,1958,2007
COMOX A,BRITISH COLUMBIA,1021830,155,71893,YQQ,49.72,-124.9,494300000,-1245400000,25.6,1944,2021,1953,2021,1944,2021,1944,2017
COURTENAY PUNTLEDGE,BRITISH COLUMBIA,1021989,162,,,49.69,-125.03,494111190,-1250157963,40,1984,2021,,,1984,2021,1984,2007
ENTRANCE ISLAND,BRITISH COLUMBIA,1022689,29411,71772,WEL,49.21,-123.81,491231195,-1234838001,7.6,1992,2021,1994,2021,1992,2021,1992,2006
FANNY ISLAND,BRITISH COLUMBIA,1022795,29733,71568,XFA,50.45,-125.99,502712663,-1255934425,5.2,2000,2021,2000,2021,2000,2021,2000,2007
HERIOT BAY SE,BRITISH COLUMBIA,1023462,173,,,50.1,-125.2,500557964,-1251212190,17,1984,2021,,,1984,2021,1984,2007
LITTLE QUALICUM HATCHERY,BRITISH COLUMBIA,1024638,181,,,49.35,-124.51,492110000,-1243044000,30,1981,2021,,,1981,2021,1981,2007
NANAIMO CITY YARD,BRITISH COLUMBIA,10253G0,189,,,49.2,-123.99,491156932,-1235916262,114,1981,2021,,,1981,2021,1981,2007
QUALICUM BEACH AIRPORT,BRITISH COLUMBIA,1026562,45627,71766,VOQ,49.34,-124.39,492014000,-1242338000,58.2,2006,2021,2006,2021,2006,2021,2006,2006
QUALICUM R FISH RESEARCH,BRITISH COLUMBIA,1026565,208,,,49.39,-124.62,492337620,-1243702054,7.6,1962,2020,,,1962,2020,1962,2007
QUINSAM RIVER HATCHERY,BRITISH COLUMBIA,1026639,209,,,50.02,-125.3,500058000,-1251814000,45.7,1975,2020,,,1975,2020,1975,2007
SISTERS ISLAND,BRITISH COLUMBIA,1027403,6813,71781,WGT,49.49,-124.43,492911800,-1242605800,20,1992,2021,1995,2021,1992,2021,1992,2004
ENTRANCE ISLAND,BRITISH COLUMBIA,102BFHH,132,,,49.21,-123.81,491232080,-1234832010,7,1987,2021,,,1987,2021,1987,2007
ALBERNI ROBERTSON CREEK,BRITISH COLUMBIA,1030230,225,,,49.34,-124.98,492014010,-1245855090,73.75,1961,2021,,,1961,2021,1961,2007
CAPE BEALE LIGHT,BRITISH COLUMBIA,1031316,235,,,48.79,-125.22,484710000,-1251258000,25.9,1984,2021,,,1984,2021,1984,2007
CARMANAH POINT,BRITISH COLUMBIA,1031402,239,,,48.61,-124.75,483642000,-1244505000,38.1,1968,2020,,,1968,2020,1968,2007
ESTEVAN POINT,BRITISH COLUMBIA,1032730,244,,,49.38,-126.54,492259914,-1263235193,5.8,1908,2021,1953,1979,1908,2021,1908,2007
ESTEVAN POINT CS,BRITISH COLUMBIA,1032731,8040,71894,WEB,49.38,-126.54,492259914,-1263235193,5.8,1993,2021,1994,2021,1993,2021,1997,2007
LENNARD ISLAND,BRITISH COLUMBIA,1034600,257,,,49.11,-125.92,490638000,-1255524000,10.6,1980,2021,,,1980,2021,1980,2007
NITINAT RIVER HATCHERY,BRITISH COLUMBIA,1035612,260,,,48.86,-124.66,485134000,-1243919000,14.9,1981,2021,,,1981,2021,1981,2007
NOOTKA LIGHTSTATION,BRITISH COLUMBIA,1035614,261,,WCV,49.6,-126.62,493600000,-1263700000,15.8,1978,2021,1994,2001,1978,2021,1978,2007
PACHENA POINT,BRITISH COLUMBIA,1035940,262,,,48.72,-125.1,484322000,-1250550000,37,1924,2021,1953,1958,1924,2021,1924,2007
PORT ALBERNI COX LAKE,BRITISH COLUMBIA,1036208,266,,,49.2,-124.75,491206002,-1244506005,100,1987,2020,,,1987,2020,1987,2007
QUATSINO,BRITISH COLUMBIA,1036570,271,,,50.53,-127.65,503201010,-1273912009,3.42,1895,2021,,,1895,2021,1895,2007
QUATSINO LIGHTSTATION,BRITISH COLUMBIA,1036572,272,,WIF,50.44,-128.03,502628000,-1280157000,21,1978,2021,1994,2001,1978,2021,1978,2007
PORT ALBERNI (AUT),BRITISH COLUMBIA,1036B06,8045,71475,WQC,49.32,-124.93,491859700,-1245536600,76.2,1992,2021,1994,2021,1992,2021,2002,2007
SARTINE ISLAND (AUT),BRITISH COLUMBIA,1037090,8261,71478,WFG,50.82,-128.91,504916000,-1285429000,103.45,1994,2021,1994,2021,1994,2021,2005,2007
SOLANDER ISLAND (AUT),BRITISH COLUMBIA,1037553,8260,71479,WRU,50.11,-127.94,500641436,-1275623999,94.2,1994,2021,1994,2021,1994,2021,2007,2007
TAHSIS VILLAGE NORTH,BRITISH COLUMBIA,1037899,276,,,49.93,-126.65,495555050,-1263914000,9,1989,2021,,,1989,2021,1989,2007
TOFINO A,BRITISH COLUMBIA,1038205,277,,YAZ,49.08,-125.77,490456000,-1254621020,24.45,1942,2021,1960,2014,1942,2021,1942,2007
UCLUELET KENNEDY CAMP,BRITISH COLUMBIA,1038332,283,,,48.95,-125.53,485643020,-1253138050,40,1964,2021,,,1964,2021,1964,2007
ZEBALLOS MURAUDE CREEK,BRITISH COLUMBIA,1039035,48888,,,50.05,-126.78,500310600,-1264643300,103,2010,2021,,,2010,2021,,
BOWEN ISLAND SUNSET PARK,BRITISH COLUMBIA,104091B,6816,,,49.36,-123.4,492135668,-1232406008,185,1992,2021,,,1992,2021,1992,2007
GIBSONS GOWER POINT,BRITISH COLUMBIA,1043152,309,,,49.39,-123.54,492308090,-1233229000,34,1961,2021,,,1961,2021,1961,2007
GRIEF POINT,BRITISH COLUMBIA,1043304,27449,,WKA,49.8,-124.53,494816600,-1243130800,10,1997,2021,1997,2021,2018,2021,,
MERRY ISLAND LIGHTSTATION,BRITISH COLUMBIA,1045100,320,,WMR,49.47,-123.91,492803030,-1235445040,7.2,1954,2021,1954,2001,1957,2021,1957,2007
HOWE SOUND - PAM ROCKS,BRITISH COLUMBIA,10459NN,6817,71211,WAS,49.49,-123.3,492916009,-1231758030,7.14,1991,2021,1994,2021,1991,2021,1991,2007
PENDER HARBOUR,BRITISH COLUMBIA,1046115,323,,,49.63,-124.03,493804000,-1240156000,64,1961,2021,,,1961,2021,1961,2007
PORT MELLON,BRITISH COLUMBIA,1046332,45267,71605,VOM,49.53,-123.5,493134700,-1232946500,125.1,2006,2021,2006,2021,2006,2021,2006,2007
POWELL RIVER A,BRITISH COLUMBIA,1046391,327,,YPW,49.83,-124.5,495003010,-1243001000,129.51,1954,2021,1982,2013,1954,2021,1954,2007
POWELL RIVER,BRITISH COLUMBIA,1046392,45807,71720,VOP,49.83,-124.5,495004400,-1242948500,125,2007,2021,2007,2021,2007,2021,,
SECHELT AUT,BRITISH COLUMBIA,1047172,45788,71638,VOU,49.46,-123.72,492728788,-1234254945,86.2,2007,2021,2007,2021,2007,2021,,
SQUAMISH AIRPORT,BRITISH COLUMBIA,10476F0,336,71207,WSK,49.78,-123.16,494659550,-1230940300,53.7,1982,2021,1982,2021,1982,2021,1982,2007
WHISTLER,BRITISH COLUMBIA,1048898,348,,WAE,50.13,-122.95,500744001,-1225717400,657.8,1976,2021,1983,2014,1976,2021,1976,2007
CAPE ST JAMES,BRITISH COLUMBIA,1051351,10901,71107,WZV,51.94,-131.02,515609000,-1310057000,87.8,1992,2020,1993,2020,1992,2020,1994,2007
KINDAKUN ROCKS (AUT),BRITISH COLUMBIA,1054222,8062,71472,WQS,53.32,-132.77,531856088,-1324619199,14.7,1994,2021,1994,2021,1994,2021,2005,2005
LANGARA,BRITISH COLUMBIA,1054500,358,71899,WLA,54.26,-133.06,541518648,-1330328799,42.69,1936,2021,1954,2001,1936,2021,1936,2007
LANGARA ISLAND RCS,BRITISH COLUMBIA,1054503,6819,71903,WJU,54.26,-133.06,541519397,-1330330557,46.9,1992,2021,1994,2021,1992,2021,1992,2007
ROSE SPIT (AUT),BRITISH COLUMBIA,1056869,8064,71477,WRO,54.16,-131.66,540932904,-1313940773,6.6,1994,2021,1994,2021,1994,2021,2004,2005
SANDSPIT,BRITISH COLUMBIA,1057052,48648,71111,YZP,53.25,-131.81,531515000,-1314850000,6.4,2010,2021,2010,2021,2010,2021,,
ADDENBROKE ISLAND,BRITISH COLUMBIA,1060080,374,,WCZ,51.6,-127.86,513612700,-1275149900,21.3,1978,2021,1994,2001,1978,2021,1978,2007
BOAT BLUFF,BRITISH COLUMBIA,1060901,383,,WZM,52.64,-128.52,523835050,-1283126070,10.7,1974,2021,1994,2001,1974,2021,1974,2007
BONILLA ISLAND,BRITISH COLUMBIA,1060902,384,,WVB,53.49,-130.64,532933900,-1303815700,16.2,1960,2021,1994,2001,1960,2021,1960,2007
BONILLA ISLAND (AUT),BRITISH COLUMBIA,1060R0K,8265,71484,WWL,53.49,-130.64,532934259,-1303820400,12.52,1994,2021,1994,2021,1994,2021,2002,2007
CATHEDRAL POINT (AUT),BRITISH COLUMBIA,1061458,8264,71482,WME,52.19,-127.47,521114830,-1272816180,26.4,1994,2021,1994,2021,1994,2021,2002,2007
CUMSHEWA ISLAND,BRITISH COLUMBIA,1062251,6822,71771,WZL,53.03,-131.6,530149476,-1313605599,12.57,1992,2021,1994,2021,1992,2021,1993,2007
DRYAD POINT,BRITISH COLUMBIA,1062544,387,,WAU,52.19,-128.11,521106002,-1280644008,3.5,1977,2021,1994,2001,1977,2021,1977,2007
EGG ISLAND,BRITISH COLUMBIA,1062646,389,,WEM,51.25,-127.84,511450000,-1275007300,14,1965,2021,1969,2001,1965,2021,1965,2007
GREEN ISLAND,BRITISH COLUMBIA,1063298,393,,WNJ,54.57,-130.71,543407020,-1304229020,11.9,1970,2021,1970,2001,1978,2021,1978,2007
GREY ISLET (AUT),BRITISH COLUMBIA,1063303,8258,71476,WEK,54.58,-130.7,543449152,-1304152080,9.5,1994,2021,1994,2021,1994,2021,2005,2007
HERBERT ISLAND (AUT),BRITISH COLUMBIA,1063461,8259,71485,WLP,50.94,-127.63,505623140,-1273755380,13.5,1994,2021,1994,2021,1994,2021,2005,2007
HOLLAND ROCK,BRITISH COLUMBIA,1063496,6823,71219,WHL,54.17,-130.36,541020042,-1302139060,5.5,1991,2021,1994,2021,1991,2021,1991,1997
IVORY ISLAND,BRITISH COLUMBIA,1063690,395,,WJG,52.27,-128.41,521611040,-1282424030,9.8,1948,2021,1994,2001,1948,2021,1948,2007
KEMANO,BRITISH COLUMBIA,1064020,396,,,53.56,-127.94,533347000,-1275634000,66,1951,2021,,,1951,2021,1951,2007
KITIMAT TOWNSITE,BRITISH COLUMBIA,1064320,402,,,54.05,-128.63,540313000,-1283803000,98,1954,2021,,,1954,2021,1954,2007
